date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:39	17081/17081	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:14:12%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/resume.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/resume.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:39	15527/15527	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:54%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:39	15525/15525	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:17:10%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-2-columns.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-2-columns.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:40	15526/15526	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:17:28%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-4-columns.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-4-columns.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:40	15526/15526	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:17:46%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-5-columns.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-5-columns.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:41	13641/13641	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:15:22%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/blog.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:41	13643/13643	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:08%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/blog-3-columns.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/blog-3-columns.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:42	11276/11276	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2015:16:16%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/contact.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/contact.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:43	219889/219889	---M--	200	added ('OK')	image/jpeg	etag:%225e85d51a-35af1%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/main_photo.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/main_photo.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:43	14072/14072	---M--	200	added ('OK')	image/jpeg	etag:%225e89a658-36f8%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/testimonials/testimonial-1.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/testimonials/testimonial-1.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:44	13431/13431	---M--	200	added ('OK')	image/jpeg	etag:%225e89a65c-3477%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/testimonials/testimonial-2.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/testimonials/testimonial-2.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:45	18623/18623	---M--	200	added ('OK')	image/jpeg	etag:%225e89a660-48bf%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/testimonials/testimonial-3.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/testimonials/testimonial-3.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:45	2783/2783	---M--	200	added ('OK')	image/png	etag:%225e4e4896-adf%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-1.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-1.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:46	2295/2295	---M--	200	added ('OK')	image/png	etag:%225e4e48a0-8f7%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-2.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-2.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:47	3079/3079	---M--	200	added ('OK')	image/png	etag:%225e4e48a4-c07%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-3.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-3.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:47	2528/2528	---M--	200	added ('OK')	image/png	etag:%225e4e48aa-9e0%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-4.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-4.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:48	2808/2808	---M--	200	added ('OK')	image/png	etag:%225e4e48b6-af8%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-5.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-5.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:49	1500/1500	---M--	200	added ('OK')	image/png	etag:%225e4e48b2-5dc%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-6.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-6.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:57:54	2125/2125	---M--	200	added ('OK')	image/png	etag:%225e4e48bc-84d%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-7.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/clients/client-7.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:04	84322/84322	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258c02818-14962%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery-2.1.3.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery-2.1.3.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:04	5441/5441	---MCZ	200	added ('OK')	application/javascript	etag:W/%225890d244-1541%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/imagesloaded.pkgd.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:04	850/850	---MC-	200	added ('OK')	text/javascript	date:Fri,%2008%20Jan%202021%2019:54:46%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/mr/www.google.com/recaptcha/api.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:05	60010/60010	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ddfcdf0-ea6a%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/bootstrap.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/bootstrap.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:06	14462/14462	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b884a-387e%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery.shuffle.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery.shuffle.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:07	23601/23601	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b5000-5c31%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/masonry.pkgd.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/masonry.pkgd.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:08	42766/42766	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258b6c1e0-a70e%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/owl.carousel.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/owl.carousel.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:08	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256c83aa6-4ef8%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery.magnific-popup.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:09	9955/9955	---MCZ	200	added ('OK')	application/javascript	etag:W/%2256efffa2-26e3%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery.googlemap.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/jquery.googlemap.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:09	11588/11588	---MCZ	200	added ('OK')	application/javascript	etag:W/%225899cb40-2d44%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/validator.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/validator.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:10	6116/6116	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e9ec494-17e4%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/js/main.js	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/js/main.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/index.html)
21:58:11	378/378	---MC-	302	error ('Found')	text/html	date:Fri,%2008%20Jan%202021%2019:54:53%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.video.play.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.video.play.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/owl.carousel.css)
21:58:11	8344/8344	---MCZ	200	added ('OK')	text/css	etag:W/%22556070f6-2098%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css)
21:58:12	57333/57333	---MCZ	200	added ('OK')	text/css	etag:W/%225e39dcac-dff5%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/fontawesome-free-5.12.1-web/css/all.min.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css)
21:58:14	150959/150959	---MCZ	200	added ('OK')	text/css	etag:W/%225e85cc90-24daf%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linecons/style.css	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linecons/style.css	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css)
21:58:15	49371/49371	---M--	200	added ('OK')	image/png	etag:%225e85d428-c0db%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/main_bg.png	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/main_bg.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/main.css)
21:58:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jan%202021%2019:54:56%20GMT	http://lmpixels.com/wp/leven-wp/wp-content/uploads/2019/11/1.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/wp/leven-wp/wp-content/uploads/2019/11/1.2c.delayed	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/resume.html)
21:58:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jan%202021%2019:54:58%20GMT	http://lmpixels.com/wp/leven-wp/wp-content/uploads/2019/12/client-1.png	C:/My%20Web%20Sites/mr/lmpixels.com/wp/leven-wp/wp-content/uploads/2019/12/client-1.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/resume.html)
21:58:16	19247/19247	---M--	200	added ('OK')	image/jpeg	etag:%225dedf95f-4b2f%22	https://lmpixels.com/wp/leven-wp/wp-content/uploads/2019/11/1.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/wp/leven-wp/wp-content/uploads/2019/11/1.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/resume.html)
21:58:17	1592/1592	---M--	200	added ('OK')	image/png	etag:%225dee27e9-638%22	https://lmpixels.com/wp/leven-wp/wp-content/uploads/2019/12/client-1.png	C:/My%20Web%20Sites/mr/lmpixels.com/wp/leven-wp/wp-content/uploads/2019/12/client-1.png	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/resume.html)
21:58:18	18433/18433	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-4801%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/1.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/1.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:18	4560/4560	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Apr%202020%2014:14:44%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-project-2.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-project-2.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:19	24157/24157	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-5e5d%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/2.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/2.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:20	40105/40105	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-9ca9%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/3.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/3.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:22	152865/152865	---M--	200	added ('OK')	image/jpeg	etag:%225de90e08-25521%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/full/3.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/full/3.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:23	43473/43473	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-a9d1%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/4.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/4.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:24	44915/44915	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-af73%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/5.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/5.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:25	41607/41607	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-a287%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/6.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/6.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:26	26167/26167	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-6637%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/7.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/7.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:26	4560/4560	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Apr%202020%2014:14:28%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-project-1.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/portfolio-project-1.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:27	38446/38446	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-962e%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/8.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/8.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:28	38685/38685	---M--	200	added ('OK')	image/jpeg	etag:%225de90e06-971d%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/9.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/9.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:30	146586/146586	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0a-23c9a%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/full/5.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/portfolio/full/5.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/portfolio.html)
21:58:30	13286/13286	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Apr%202020%2018:16:22%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/blog-post-1.html	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/blog-post-1.html	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:31	44193/44193	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0a-aca1%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_1.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_1.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:32	76262/76262	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0c-129e6%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_2.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_2.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:34	96117/96117	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0a-17775%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_3.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_3.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:34	60364/60364	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0c-ebcc%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_4.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_4.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:35	88976/88976	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0a-15b90%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_5.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_5.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:36	50142/50142	---M--	200	added ('OK')	image/jpeg	etag:%225de90e0c-c3de%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_6.jpg	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/img/blog/blog_post_6.jpg	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/blog.html)
21:58:36	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ff4acca-4d7%22	https://lmpixels.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/mr/lmpixels.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/contact.html)
21:58:41	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20May%202015%2002:30:30%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free.eot?w118d	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.eot	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css)
21:58:41	55820/55820	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2024%20May%202015%2002:30:30%20GMT	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free.eot?	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Freed41d.eot	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css)
21:58:42	21780/21780	---M--	200	added ('OK')	font/woff2	etag:%22556137cc-5514%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free.woff2?w118d	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.woff2	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css)
21:58:43	55696/55696	---M--	200	added ('OK')	font/woff	etag:%22556137c6-d990%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free.woff?w118d	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.woff	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css)
21:58:44	55620/55620	---M--	200	added ('OK')	application/octet-stream	etag:%22556137c6-d944%22	https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free.ttf?w118d	C:/My%20Web%20Sites/mr/lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/fonts/Linearicons-Free54e9.ttf	(from https://lmpixels.com/demo/leven-html-new/full-width-dark/css/fonts/linear-icons-font/style.css)
